"SELECT * FROM Parking WHERE valor=0 ORDER BY id_controlador ASC, id_sensor ASC",2023-11-02 21:59:12.252313,2023-11-02 21:59:12.253289,2.0400776863098145,88
SELECT * FROM Parking WHERE id_controlador=5 ORDER BY id_sensor,2023-11-02 21:59:12.253289,2023-11-02 21:59:12.254291,2.042067527770996,38
"SELECT id, username, placa, correo, tipe FROM Usuarios ORDER BY id",2023-11-02 21:59:12.260303,2023-11-02 21:59:12.262298,2.049082040786743,10
SELECT * FROM Parking WHERE id_controlador=1 ORDER BY id_sensor,2023-11-02 21:59:12.266303,2023-11-02 21:59:12.267289,2.0698893070220947,38
SELECT * FROM Parking WHERE id_controlador=4 ORDER BY id_sensor,2023-11-02 21:59:12.266303,2023-11-02 21:59:12.270288,2.0708885192871094,38
SELECT * FROM Parking WHERE id_controlador=3 ORDER BY id_sensor,2023-11-02 21:59:12.288794,2023-11-02 21:59:12.289794,2.0923802852630615,38
SELECT * FROM Parking WHERE id_controlador=2 ORDER BY id_sensor,2023-11-02 21:59:22.291604,2023-11-02 21:59:22.292594,2.0829384326934814,38
SELECT * FROM Parking WHERE id_controlador=5 ORDER BY id_sensor,2023-11-02 21:59:22.313107,2023-11-02 21:59:22.314058,2.103442430496216,38
"SELECT id, username, placa, correo, tipe FROM Usuarios ORDER BY id",2023-11-02 21:59:22.323059,2023-11-02 21:59:22.324058,2.114393472671509,10
SELECT * FROM Parking WHERE id_controlador=1 ORDER BY id_sensor,2023-11-02 21:59:22.585199,2023-11-02 21:59:22.586144,2.3935468196868896,38
SELECT * FROM Parking WHERE id_controlador=4 ORDER BY id_sensor,2023-11-02 21:59:22.619038,2023-11-02 21:59:22.619399,2.4093737602233887,38
"SELECT * FROM Parking WHERE valor=0 AND asignado=0 ORDER BY id_controlador ASC, id_sensor ASC",2023-11-02 21:59:22.629526,2023-11-02 21:59:22.632515,2.4198617935180664,42
SELECT * FROM Parking WHERE id_controlador=3 ORDER BY id_sensor,2023-11-02 21:59:22.638510,2023-11-02 21:59:22.638510,2.4288454055786133,38
"SELECT * FROM Parking WHERE valor=0 ORDER BY id_controlador ASC, id_sensor ASC",2023-11-02 21:59:22.638510,2023-11-02 21:59:22.642567,2.4298441410064697,88
SELECT * FROM Parking WHERE id_controlador=5 ORDER BY id_sensor,2023-11-02 22:00:34.249205,2023-11-02 22:00:34.277203,2.3529794216156006,38
"SELECT * FROM Parking WHERE valor=0 AND asignado=0 ORDER BY id_controlador ASC, id_sensor ASC",2023-11-02 22:00:34.274202,2023-11-02 22:00:34.281202,2.376974105834961,42
SELECT * FROM Parking WHERE id_controlador=1 ORDER BY id_sensor,2023-11-02 22:00:34.275206,2023-11-02 22:00:34.287204,2.3649771213531494,38
"SELECT * FROM Parking WHERE valor=0 ORDER BY id_controlador ASC, id_sensor ASC",2023-11-02 22:00:34.277203,2023-11-02 22:00:34.289202,2.3559722900390625,88
"SELECT id, username, placa, correo, tipe FROM Usuarios ORDER BY id",2023-11-02 22:00:34.399205,2023-11-02 22:00:34.402207,2.4879744052886963,10
SELECT * FROM Parking WHERE id_controlador=3 ORDER BY id_sensor,2023-11-02 22:00:34.411201,2023-11-02 22:00:34.411201,2.5119733810424805,38
SELECT * FROM Parking WHERE id_controlador=4 ORDER BY id_sensor,2023-11-02 22:00:34.411201,2023-11-02 22:00:34.412205,2.5129575729370117,38
SELECT * FROM Parking WHERE id_controlador=2 ORDER BY id_sensor,2023-11-02 22:00:34.493201,2023-11-02 22:00:34.494203,2.590972900390625,38
"SELECT id, username, placa, correo, tipe FROM Usuarios ORDER BY id",2023-11-02 22:00:44.112833,2023-11-02 22:00:44.114864,2.2063114643096924,10
SELECT * FROM Parking WHERE id_controlador=2 ORDER BY id_sensor,2023-11-02 22:00:44.136439,2023-11-02 22:00:44.137439,2.2309181690216064,38
SELECT * FROM Parking WHERE id_controlador=3 ORDER BY id_sensor,2023-11-02 22:00:44.331027,2023-11-02 22:00:44.332000,2.4265081882476807,38
"SELECT * FROM Parking WHERE valor=0 ORDER BY id_controlador ASC, id_sensor ASC",2023-11-02 22:00:44.336025,2023-11-02 22:00:44.337055,2.4305038452148438,88
SELECT * FROM Parking WHERE id_controlador=4 ORDER BY id_sensor,2023-11-02 22:00:44.343011,2023-11-02 22:00:44.346001,2.4384913444519043,38
SELECT * FROM Parking WHERE id_controlador=1 ORDER BY id_sensor,2023-11-02 22:00:44.346001,2023-11-02 22:00:44.348999,2.457479476928711,38
"SELECT * FROM Parking WHERE valor=0 AND asignado=0 ORDER BY id_controlador ASC, id_sensor ASC",2023-11-02 22:00:44.372191,2023-11-02 22:00:44.373163,2.4656689167022705,42
SELECT * FROM Parking WHERE id_controlador=5 ORDER BY id_sensor,2023-11-02 22:00:44.376127,2023-11-02 22:00:44.377144,2.4696059226989746,38
"SELECT * FROM Parking WHERE valor=0 ORDER BY id_controlador ASC, id_sensor ASC",2023-11-02 22:00:53.676612,2023-11-02 22:00:53.677610,1.7676823139190674,88
SELECT * FROM Parking WHERE id_controlador=5 ORDER BY id_sensor,2023-11-02 22:00:53.739435,2023-11-02 22:00:53.740428,1.83050537109375,38
"SELECT id, username, placa, correo, tipe FROM Usuarios ORDER BY id",2023-11-02 22:00:53.898037,2023-11-02 22:00:53.898982,1.9900970458984375,10
SELECT * FROM Parking WHERE id_controlador=4 ORDER BY id_sensor,2023-11-02 22:00:53.900994,2023-11-02 22:00:53.901981,1.9920644760131836,38
SELECT * FROM Parking WHERE id_controlador=1 ORDER BY id_sensor,2023-11-02 22:00:53.936738,2023-11-02 22:00:53.937724,2.0456924438476562,38
SELECT * FROM Parking WHERE id_controlador=2 ORDER BY id_sensor,2023-11-02 22:00:53.948725,2023-11-02 22:00:53.948725,2.040785074234009,38
SELECT * FROM Parking WHERE id_controlador=3 ORDER BY id_sensor,2023-11-02 22:00:53.997605,2023-11-02 22:00:53.998608,2.0896658897399902,38
"SELECT * FROM Parking WHERE valor=0 AND asignado=0 ORDER BY id_controlador ASC, id_sensor ASC",2023-11-02 22:00:54.003616,2023-11-02 22:00:54.004606,2.095677137374878,42
SELECT * FROM Parking WHERE id_controlador=1 ORDER BY id_sensor,2023-11-02 22:01:03.805495,2023-11-02 22:01:03.807508,1.9094791412353516,38
SELECT * FROM Parking WHERE id_controlador=2 ORDER BY id_sensor,2023-11-02 22:01:03.823172,2023-11-02 22:01:03.824107,1.9271554946899414,38
SELECT * FROM Parking WHERE id_controlador=3 ORDER BY id_sensor,2023-11-02 22:01:03.827104,2023-11-02 22:01:03.828107,1.932115077972412,38
"SELECT id, username, placa, correo, tipe FROM Usuarios ORDER BY id",2023-11-02 22:01:03.875074,2023-11-02 22:01:03.876085,1.9644739627838135,10
SELECT * FROM Parking WHERE id_controlador=4 ORDER BY id_sensor,2023-11-02 22:01:03.885118,2023-11-02 22:01:03.886053,1.9891014099121094,38
"SELECT * FROM Parking WHERE valor=0 AND asignado=0 ORDER BY id_controlador ASC, id_sensor ASC",2023-11-02 22:01:03.916050,2023-11-02 22:01:03.917052,2.0054500102996826,42
SELECT * FROM Parking WHERE id_controlador=5 ORDER BY id_sensor,2023-11-02 22:01:03.975591,2023-11-02 22:01:03.976591,2.0795750617980957,38
"SELECT * FROM Parking WHERE valor=0 ORDER BY id_controlador ASC, id_sensor ASC",2023-11-02 22:01:03.982605,2023-11-02 22:01:03.983597,2.0720043182373047,88
"SELECT id, username, placa, correo, tipe FROM Usuarios ORDER BY id",2023-11-02 22:01:14.095705,2023-11-02 22:01:14.096727,2.193227529525757,10
SELECT * FROM Parking WHERE id_controlador=5 ORDER BY id_sensor,2023-11-02 22:01:14.147695,2023-11-02 22:01:14.148709,2.2442173957824707,38
